name,country_provenance,national_team,career_goals,career_assists,clubs_with_years
Alexia Putellas,Spain,Spain,89,67,"Barcelona (2012-2024)"
Sam Kerr,Australia,Australia,142,28,"Perth Glory (2014-2019), Chicago Red Stars (2019-2020), Chelsea (2020-2024)"
Ada Hegerberg,Norway,Norway,238,52,"Kolbotn (2010-2011), Stabæk (2012-2013), Turbine Potsdam (2013-2014), Lyon (2014-2024)"
Wendie Renard,France,France,34,15,"Lyon (2006-2024)"
Christine Sinclair,Canada,Canada,190,64,"Portland Thorns (2013-2024), Vancouver Whitecaps (2001-2002)"
Megan Rapinoe,USA,USA,63,73,"Seattle Reign (2013-2014), OL Reign (2014-2023)"
Carli Lloyd,USA,USA,134,55,"Sky Blue (2009-2010), Western NY Flash (2013), Houston Dash (2014-2017), Manchester City (2017)"
Vivianne Miedema,Netherlands,Netherlands,159,73,"Heerenveen (2011-2014), Bayern Munich (2014-2017), Arsenal (2017-2024), Manchester City (2024-present)"
Dzsenifer Marozsán,Germany,Germany,76,98,"1. FFC Frankfurt (2011-2016), Lyon (2016-2021), OL Reign (2021-2023)"
Lieke Martens,Netherlands,Netherlands,45,38,"Duisburg (2011-2014), Göteborg (2014-2017), Barcelona (2017-2022), PSG (2022-2024)"
Lucy Bronze,England,England,22,42,"Sunderland (2010-2014), Liverpool (2014-2017), Manchester City (2017-2020), Lyon (2020-2022), Barcelona (2022-2024), Chelsea (2024-present)"
Rose Lavelle,USA,USA,28,19,"Washington Spirit (2018-2019), Manchester City (2020-2021), OL Reign (2021-2024)"
Julie Ertz,USA,USA,21,12,"Chicago Red Stars (2014-2022), Angel City (2023-2024)"
Tobin Heath,USA,USA,36,41,"Portland Thorns (2013-2020), Paris Saint-Germain (2013), Manchester United (2020-2021), Arsenal (2021-2022)"
Fran Kirby,England,England,89,57,"Reading (2012-2015), Chelsea (2015-2024)"
Pernille Harder,Denmark,Denmark,117,78,"Ikast (2007-2012), Linköping (2012-2017), Wolfsburg (2017-2020), Chelsea (2020-2023)"
Alex Morgan,USA,USA,123,49,"Portland Thorns (2013-2015), Orlando Pride (2016-2020), Tottenham (2020-2021), San Diego Wave (2022-2024)"
Sophia Smith,USA,USA,42,18,"Portland Thorns (2020-2024)"
Trinity Rodman,USA,USA,18,14,"Washington Spirit (2021-2024)"
Lena Oberdorf,Germany,Germany,12,8,"SGS Essen (2016-2020), Wolfsburg (2020-2024)"
Millie Bright,England,England,8,5,"Doncaster Rovers Belles (2010-2014), Chelsea (2014-2024)"
Mary Earps,England,England,0,0,"Reading (2016-2018), Manchester United (2018-2024), PSG (2024-present)"
Aitana Bonmatí,Spain,Spain,34,52,"Barcelona (2016-2024)"
Lena Goessling,Germany,Germany,52,38,"Bad Neuenahr (2006-2008), Hamburg (2008-2011), Wolfsburg (2011-2022)"
Selma Bacha,France,France,5,43,"Lyon (2017-2024)"
